Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Vanguard Total Stock Market Index...,3.08%,14143632,5450531464,-161526,-1.13%,ADBE
Vanguard 500 Index Fund,2.33%,10688148,4118891595,-112244,-1.04%,ADBE
Invesco QQQ Trust,1.33%,6082530,2344024586,19600,+0.32%,ADBE
Government Pension Fund - Global ...,1.12%,5153122,1985858625,1019471,+24.66%,ADBE
Fidelity 500 Index Fund,1.11%,5096493,1964035507,9265,+0.18%,ADBE
SPDR S&P 500 ETF Trust,1.08%,4970624,1915529371,14196,+0.29%,ADBE
Vanguard PRIMECAP Fund,0.98%,4493757,1731759135,0,0.00%,ADBE
iShares Core S&P 500 ETF,0.89%,4063203,1565836540,546,+0.01%,ADBE
Vanguard Growth Index Fund,0.85%,3898782,1502473619,-67266,-1.70%,ADBE
Vanguard Institutional Index Fund,0.72%,3314714,1277391334,-37134,-1.11%,ADBE
Vanguard Total Stock Market Index...,3.00%,2301337,768968745,17079,+0.75%,ALGN
Advisors Inner Circle - Edgewood ...,2.36%,1810020,604800083,-321558,-15.09%,ALGN
Vanguard Mid Cap Index Fund,2.26%,1733281,579158513,3133,+0.18%,ALGN
Vanguard 500 Index Fund,2.21%,1695967,566690413,8000,+0.47%,ALGN
Vanguard Health Care Fund,1.63%,1245662,416225501,0,0.00%,ALGN
JPMorgan Large Cap Growth Fund,1.43%,1095183,365944448,703248,+179.43%,ALGN
American Funds Growth Fund of Ame...,1.39%,1067000,356527380,-156500,-12.79%,ALGN
Invesco QQQ Trust,1.33%,1017961,340141489,3290,+0.32%,ALGN
Fidelity 500 Index Fund,1.04%,796366,266097735,1447,+0.18%,ALGN
SPDR S&P 500 ETF Trust,1.03%,786203,262701870,2236,+0.29%,ALGN
Washington Mutual Investors Fund,3.32%,18218092,1451253209,-6798225,-27.18%,ADM
Vanguard Total Stock Market Index...,3.10%,16964742,1351411348,61426,+0.36%,ADM
Vanguard 500 Index Fund,2.33%,12772440,1017452570,9448,+0.07%,ADM
American Balanced Fund,1.55%,8500000,677110000,-5488059,-39.23%,ADM
Vanguard Equity Income Fund,1.21%,6625616,527796571,-231835,-3.38%,ADM
Vanguard Mid Cap Index Fund,1.17%,6400062,509828939,-8839,-0.14%,ADM
Fidelity 500 Index Fund,1.10%,6022105,479720884,10946,+0.18%,ADM
SPDR S&P 500 ETF Trust,1.09%,5954868,474364785,16952,+0.29%,ADM
Government Pension Fund - Global ...,1.01%,5523655,440014357,-296356,-5.09%,ADM
Vanguard Value Index Fund,0.90%,4902244,390512757,22018,+0.45%,ADM
Stichting Pensioenfonds ABP (Glob...,5.61%,4928668,526036736,-393488,-7.39%,ALLE
Vanguard Total Stock Market Index...,3.10%,2725134,290853552,19391,+0.72%,ALLE
Vanguard Small Cap Index Fund,2.62%,2299432,245418377,10115,+0.44%,ALLE
Vanguard 500 Index Fund,2.33%,2050398,218838979,11040,+0.54%,ALLE
John Hancock III - Disciplined Va...,2.00%,1758106,187642653,24011,+1.38%,ALLE
Vanguard Small Cap Value Index Fu...,1.84%,1612787,172132757,-2997,-0.19%,ALLE
Pictet - Security,1.75%,1540000,164364200,-810000,-34.47%,ALLE
Fidelity 500 Index Fund,1.10%,963007,102781737,1753,+0.18%,ALLE
SPDR S&P 500 ETF Trust,1.09%,960007,102461547,2704,+0.28%,ALLE
VanEck Morningstar Wide Moat ETF,0.92%,812067,86671911,7860,+0.98%,ALLE
Vanguard Total Stock Market Index...,3.09%,3626380,801575035,20109,+0.56%,ALB
