Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
"The Vanguard Group, Inc.",8.16%,37448955,14431703788,218046,+0.59%,ADBE
BlackRock Fund Advisors,5.01%,22986378,8858260490,-138201,-0.60%,ADBE
"SSgA Funds Management, Inc.",4.00%,18363149,7076606730,-257113,-1.38%,ADBE
Fidelity Management & Research Co...,2.56%,11731922,4521130781,-1384744,-10.56%,ADBE
Geode Capital Management LLC,2.07%,9507218,3663796601,123726,+1.32%,ADBE
PRIMECAP Management Co.,1.38%,6341673,2443890524,-63245,-0.99%,ADBE
Polen Capital Management LLC,1.37%,6270216,2416353140,-660748,-9.53%,ADBE
Massachusetts Financial Services ...,1.19%,5435072,2094513697,-54839,-1.00%,ADBE
Norges Bank Investment Management,1.14%,5221017,2012023321,1025995,+24.46%,ADBE
Fisher Asset Management LLC,1.11%,5070299,1953941126,-72038,-1.40%,ADBE
"The Vanguard Group, Inc.",10.47%,8019555,2679654108,112503,+1.42%,ALGN
BlackRock Fund Advisors,4.84%,3707640,1238870830,-62848,-1.67%,ALGN
Edgewood Management LLC,4.45%,3409145,1139131710,-466276,-12.03%,ALGN
"SSgA Funds Management, Inc.",3.98%,3049983,1019121320,33633,+1.12%,ALGN
Sands Capital Management LLC,3.47%,2660870,889103102,345647,+14.93%,ALGN
Wellington Management Co. LLP,2.80%,2142747,715977483,-360935,-14.42%,ALGN
Capital Research & Management Co....,2.77%,2125282,710141727,1006760,+90.01%,ALGN
Polen Capital Management LLC,2.19%,1674073,559374752,-313965,-15.79%,ALGN
"T. Rowe Price Associates, Inc. (I...",2.13%,1633679,545877501,-213671,-11.57%,ALGN
Geode Capital Management LLC,2.02%,1549279,517676085,37047,+2.45%,ALGN
"The Vanguard Group, Inc.",10.96%,60075805,4785638626,-580480,-0.96%,ADM
State Farm Investment Management ...,8.54%,46796552,3727813332,0,0.00%,ADM
Capital Research & Management Co....,7.38%,40420534,3219899738,-1576446,-3.75%,ADM
"SSgA Funds Management, Inc.",5.80%,31780683,2531649208,10452,+0.03%,ADM
BlackRock Fund Advisors,4.90%,26874527,2140824821,422849,+1.60%,ADM
Capital Research & Management Co....,3.08%,16884562,1345024209,3823482,+29.27%,ADM
"Northern Trust Investments, Inc.(...",2.12%,11618956,925566035,135405,+1.18%,ADM
Wellington Management Co. LLP,2.00%,10950577,872322964,-810465,-6.89%,ADM
Geode Capital Management LLC,1.79%,9825941,782734460,-331767,-3.27%,ADM
Norges Bank Investment Management,1.03%,5655473,450514979,-293334,-4.93%,ADM
"The Vanguard Group, Inc.",11.60%,10192916,1087889925,66443,+0.66%,ALLE
APG Asset Management NV,6.13%,5385551,574799858,-18619,-0.34%,ALLE
BlackRock Fund Advisors,5.69%,5003414,534014376,179436,+3.72%,ALLE
"Boston Partners Global Investors,...",4.59%,4035051,430660993,227955,+5.99%,ALLE
"SSgA Funds Management, Inc.",4.24%,3721544,397200391,-196471,-5.01%,ALLE
Kayne Anderson Rudnick Investment...,3.38%,2970437,317034741,15433,+0.52%,ALLE
Pictet Asset Management SA,3.15%,2768326,295463434,175067,+6.75%,ALLE
AKO Capital LLP,2.95%,2589778,276407006,-102780,-3.82%,ALLE
Geode Capital Management LLC,2.08%,1829032,195212585,-150019,-7.58%,ALLE
Ninety One UK Ltd.,1.80%,1584072,169068005,-96818,-5.76%,ALLE
"The Vanguard Group, Inc.",11.68%,13690202,3026082250,233669,+1.74%,ALB
Capital Research & Management Co....,6.53%,7655721,1692220570,2752935,+56.15%,ALB
BlackRock Fund Advisors,5.12%,6004886,1327320001,298128,+5.22%,ALB
"SSgA Funds Management, Inc.",4.37%,5119648,1131646994,-3315,-0.06%,ALB
Baillie Gifford & Co.,2.31%,2704716,597850425,-510301,-15.87%,ALB
Capital Research & Management Co....,2.16%,2527584,558697167,-440118,-14.83%,ALB
Fidelity Management & Research Co...,2.08%,2431328,537420741,38329,+1.60%,ALB
Geode Capital Management LLC,2.02%,2365133,522788998,47501,+2.05%,ALB
"Franklin Advisers, Inc.",1.76%,2060569,455468172,56266,+2.81%,ALB
PRIMECAP Management Co.,1.72%,2013745,445118195,-419805,-17.25%,ALB
"The Vanguard Group, Inc.",8.12%,24010203,3321571483,289699,+1.22%,A
BlackRock Fund Advisors,5.60%,16547843,2289228601,-682469,-3.96%,A
Wellington Management Co. LLP,4.53%,13407849,1854841831,40208,+0.30%,A
"SSgA Funds Management, Inc.",4.43%,13102916,1812657399,-49379,-0.38%,A
T. Rowe Price Investment Manageme...,3.15%,9303803,1287088107,-174596,-1.84%,A
Massachusetts Financial Services ...,2.66%,7868485,1088526215,1389815,+21.45%,A
"T. Rowe Price Associates, Inc. (I...",2.61%,7707052,1066193574,1392128,+22.05%,A
Geode Capital Management LLC,2.06%,6081450,841307793,106712,+1.79%,A
